acc_rate,track,m,n,current_pitch,current_roll,absoluate_roll,climb_delta,roll_rate_delta,climb_delta_diff,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time1_delta,time2_delta,time3_delta,time4_delta,time5_delta,time6_delta,time7_delta,time8_delta,time9_delta,time10_delta,time11_delta,time12_delta,time13_delta,time14_delta,omega,set,target
-31,22,1.1274968515793757,0.03,1.44,-0.7,-9,6,0.011000000000000001,-0.9,0.053,0.053,0.053,0.053,0.053,0.051,0.051,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.002,0.0,0.0004,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,0.3364722366212129,0.05,1.4
185,-40,1.3634251141321778,-0.1,0.3,-1.3,-12,16,0.022000000000000002,0.1,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.032,0.016,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.016,0.5
170,-17,0.794533602503334,0.12,0.31,0.6,-6,9,-0.006,-2.5,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.019,0.019,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.001,-10.0,-0.916290731874155,0.018000000000000002,0.5
-399,-8,0.697676326071031,-0.13,0.8,-0.7,-7,15,0.008,0.1,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.015,0.015,0.015,0.03,0.015,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.916290731874155,0.015,0.2
-24,-18,1.1274968515793757,0.18,0.85,-1.8,-18,-3,0.019,-0.2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.2231435513142097,0.03,1.5
278,-42,0.8269591339433623,0.15,0.45,-1.6,-20,6,0.018000000000000002,-0.2,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.055999999999999994,0.027999999999999997,0.027999999999999997,0.027000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.001,-10.0,-0.2231435513142097,0.027000000000000003,1.1
-257,-44,0.7866278610665535,-0.07,0.7,-0.5,-6,6,0.006999999999999999,0.5,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.03,0.015,0.015,0.016,-0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.002,-10.0,-0.6931471805599453,0.016,0.3
-182,-6,0.7189237334319262,0.14,0.74,0.4,-11,-11,-0.016,0.0,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.02,0.02,0.02,0.02,0.021,0.042,0.021,0.021,0.021,-0.001,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,-0.002,0.0,8.999,0.0,0.0,-10.0,-0.5108256237659907,0.021,0.8
-126,-19,0.7633794943368531,0.07,0.63,-0.4,-19,9,-0.013000000000000001,0.2,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.019,1.1
-273,-50,1.4918246976412703,0.37,1.54,0.2,-17,-6,-0.002,-2.1,0.043,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.09,0.045,0.045,0.045,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,0.1823215567939546,0.045,1.8
436,-58,1.6160744021928934,0.08,0.17,0.7,-15,-2,-0.016,0.2,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.02,1.4
129,-16,1.2586000099294778,0.01,0.39,-0.9,-14,8,0.015,-0.2,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.036000000000000004,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018000000000000002,0.9
-229,4,1.2460767305873808,-0.04,1.0,-0.8,-7,4,0.004,0.1,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.052000000000000005,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.2231435513142097,0.026000000000000002,0.7
271,-25,0.9801986733067553,0.15,0.35,1.2,-19,1,-0.019,-0.2,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.021,0.021,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.044000000000000004,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.0,0.0,0.001,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.022000000000000002,1.3
-102,-34,0.5066169923655895,0.02,0.61,2.2,-11,6,-0.011000000000000001,0.3,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.036000000000000004,0.018000000000000002,0.018000000000000002,0.019,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.001,-10.0,-0.6931471805599453,0.019,0.8
-319,-24,0.7046880897187134,-0.23,0.81,0.5,-10,7,0.005,5.3,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.036000000000000004,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018000000000000002,0.8
439,-5,0.9048374180359595,0.04,0.13,1.3,-12,1,-0.008,0.1,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.036000000000000004,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018000000000000002,1.0
-99,-45,0.44932896411722156,0.18,1.03,0.7,-17,2,-0.032,-0.2,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.035,0.07,0.035,0.035,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,8.999,0.0,0.001,-10.0,-0.10536051565782628,0.034,1.6
258,12,1.4918246976412703,0.2,0.33,0.4,-14,11,0.016,-2.9,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.044000000000000004,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.022000000000000002,1.1
-200,-7,1.3634251141321778,0.03,1.35,-0.8,-12,3,-0.006,-0.2,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.078,0.039,0.039,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,0.09531017980432493,0.039,1.6
-127,10,1.0408107741923882,0.08,0.67,1.1,-6,-9,-0.006999999999999999,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.02,0.5
32,-20,1.161834242728283,0.01,0.49,0.9,-9,-8,-0.01,2.0,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.036000000000000004,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018000000000000002,1.0
