acc_rate,track,m,n,current_pitch,current_roll,absoluate_roll,climb_delta,roll_rate_delta,climb_delta_diff,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time1_delta,time2_delta,time3_delta,time4_delta,time5_delta,time6_delta,time7_delta,time8_delta,time9_delta,time10_delta,time11_delta,time12_delta,time13_delta,time14_delta,omega,set,target
185.0,-40.0,1.3634251141321778,-0.1,0.3,-1.3,-12.0,16.0,0.022,0.1,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.032,0.016,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.016,0.5
170.0,-17.0,0.794533602503334,0.12,0.31,0.6,-6.0,9.0,-0.006,-2.5,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.019,0.019,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.001,-10.0,-0.916290731874155,0.018,0.5
-399.0,-8.0,0.697676326071031,-0.13,0.8,-0.7,-7.0,15.0,0.008,0.1,0.0139999999999999,0.0139999999999999,0.0139999999999999,0.0139999999999999,0.0139999999999999,0.0139999999999999,0.0139999999999999,0.015,0.015,0.015,0.03,0.015,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.916290731874155,0.015,0.2
-24.0,-18.0,1.1274968515793755,0.18,0.85,-1.8,-18.0,-3.0,0.019,-0.2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.2231435513142097,0.03,1.5
278.0,-42.0,0.8269591339433623,0.15,0.45,-1.6,-20.0,6.0,0.018,-0.2,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0559999999999999,0.0279999999999999,0.0279999999999999,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.001,-10.0,-0.2231435513142097,0.027,1.1
-257.0,-44.0,0.7866278610665535,-0.07,0.7,-0.5,-6.0,6.0,0.0069999999999999,0.5,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.03,0.015,0.015,0.016,-0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.002,-10.0,-0.6931471805599453,0.016,0.3
-182.0,-6.0,0.7189237334319262,0.14,0.74,0.4,-11.0,-11.0,-0.016,0.0,0.018,0.018,0.018,0.018,0.018,0.02,0.02,0.02,0.02,0.021,0.042,0.021,0.021,0.021,-0.001,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,-0.002,0.0,8.999,0.0,0.0,-10.0,-0.5108256237659907,0.021,0.8
-126.0,-19.0,0.7633794943368531,0.07,0.63,-0.4,-19.0,9.0,-0.013,0.2,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.038,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.019,1.1
436.0,-58.0,1.6160744021928934,0.08,0.17,0.7,-15.0,-2.0,-0.016,0.2,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.5108256237659907,0.02,1.4
129.0,-16.0,1.2586000099294778,0.01,0.39,-0.9,-14.0,8.0,0.015,-0.2,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.036,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-10.0,-0.6931471805599453,0.018,0.9
